"region","hushållstyp","boendeform","X2019"
"Gotland","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",277
"Gotland","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",20
"Gotland","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",159
"Gotland","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",178
"Gotland","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",416
"Gotland","ensamstående kvinnor med barn 0-24 år","specialbostad",0
"Gotland","ensamstående kvinnor med barn 0-24 år","övrigt boende",24
"Gotland","ensamstående kvinnor med barn 0-24 år","uppgift saknas",76
"Gotland","ensamstående män med barn 0-24 år","småhus, äganderätt",265
"Gotland","ensamstående män med barn 0-24 år","småhus, bostadsrätt",0
"Gotland","ensamstående män med barn 0-24 år","småhus, hyresrätt",35
"Gotland","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",33
"Gotland","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",77
"Gotland","ensamstående män med barn 0-24 år","specialbostad",0
"Gotland","ensamstående män med barn 0-24 år","övrigt boende",11
"Gotland","ensamstående män med barn 0-24 år","uppgift saknas",29
"Gotland","sammanboende utan barn","småhus, äganderätt",4809
"Gotland","sammanboende utan barn","småhus, bostadsrätt",170
"Gotland","sammanboende utan barn","småhus, hyresrätt",287
"Gotland","sammanboende utan barn","flerbostadshus, bostadsrätt",980
"Gotland","sammanboende utan barn","flerbostadshus, hyresrätt",598
"Gotland","sammanboende utan barn","specialbostad",54
"Gotland","sammanboende utan barn","övrigt boende",75
"Gotland","sammanboende utan barn","uppgift saknas",134
"Gotland","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",1036
"Gotland","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",35
"Gotland","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",92
"Gotland","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",148
"Gotland","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",160
"Gotland","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Gotland","sammanboende med barn 0-24 år, 1 barn","övrigt boende",18
"Gotland","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",92
"Gotland","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",1796
"Gotland","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",36
"Gotland","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",107
"Gotland","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",117
"Gotland","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",118
"Gotland","sammanboende med barn 0-24 år, 2 barn","specialbostad",0
"Gotland","sammanboende med barn 0-24 år, 2 barn","övrigt boende",19
"Gotland","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",125
"Gotland","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",775
"Gotland","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",13
"Gotland","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",68
"Gotland","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",19
"Gotland","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",87
"Gotland","sammanboende med barn 0-24 år, 3+  barn","specialbostad",0
"Gotland","sammanboende med barn 0-24 år, 3+  barn","övrigt boende",6
"Gotland","sammanboende med barn 0-24 år, 3+  barn","uppgift saknas",42
"Gotland","övriga hushåll utan barn 0-24 år","småhus, äganderätt",1411
"Gotland","övriga hushåll utan barn 0-24 år","småhus, bostadsrätt",22
"Gotland","övriga hushåll utan barn 0-24 år","småhus, hyresrätt",81
"Gotland","övriga hushåll utan barn 0-24 år","flerbostadshus, bostadsrätt",212
"Gotland","övriga hushåll utan barn 0-24 år","flerbostadshus, hyresrätt",295
"Gotland","övriga hushåll utan barn 0-24 år","specialbostad",33
"Gotland","övriga hushåll utan barn 0-24 år","övrigt boende",33
"Gotland","övriga hushåll utan barn 0-24 år","uppgift saknas",21
"Gotland","övriga hushåll med barn 0-24 år","småhus, äganderätt",627
"Gotland","övriga hushåll med barn 0-24 år","småhus, bostadsrätt",11
"Gotland","övriga hushåll med barn 0-24 år","småhus, hyresrätt",37
"Gotland","övriga hushåll med barn 0-24 år","flerbostadshus, bostadsrätt",38
"Gotland","övriga hushåll med barn 0-24 år","flerbostadshus, hyresrätt",84
"Gotland","övriga hushåll med barn 0-24 år","specialbostad",0
"Gotland","övriga hushåll med barn 0-24 år","övrigt boende",12
"Gotland","övriga hushåll med barn 0-24 år","uppgift saknas",0
"Olofström","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",119
"Olofström","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",15
"Olofström","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",14
"Olofström","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",41
"Olofström","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",260
"Olofström","ensamstående kvinnor -64 år utan barn","specialbostad",0
"Olofström","ensamstående kvinnor -64 år utan barn","övrigt boende",11
"Olofström","ensamstående kvinnor -64 år utan barn","uppgift saknas",10
"Olofström","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",321
"Olofström","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",11
"Olofström","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",11
"Olofström","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",65
"Olofström","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",275
"Olofström","ensamstående kvinnor 65- år utan barn","specialbostad",25
"Olofström","ensamstående kvinnor 65- år utan barn","övrigt boende",65
"Olofström","ensamstående kvinnor 65- år utan barn","uppgift saknas",11
"Olofström","ensamstående män -64 år utan barn","småhus, äganderätt",334
"Olofström","ensamstående män -64 år utan barn","småhus, bostadsrätt",0
"Olofström","ensamstående män -64 år utan barn","småhus, hyresrätt",13
"Olofström","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",87
"Olofström","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",401
"Olofström","ensamstående män -64 år utan barn","specialbostad",6
"Olofström","ensamstående män -64 år utan barn","övrigt boende",14
"Olofström","ensamstående män -64 år utan barn","uppgift saknas",37
"Olofström","ensamstående män 65- år utan barn","småhus, äganderätt",256
"Olofström","ensamstående män 65- år utan barn","småhus, bostadsrätt",5
"Olofström","ensamstående män 65- år utan barn","småhus, hyresrätt",14
"Olofström","ensamstående män 65- år utan barn","flerbostadshus, bostadsrätt",38
"Olofström","ensamstående män 65- år utan barn","flerbostadshus, hyresrätt",128
"Olofström","ensamstående män 65- år utan barn","specialbostad",10
"Olofström","ensamstående män 65- år utan barn","övrigt boende",35
"Olofström","ensamstående män 65- år utan barn","uppgift saknas",9
"Olofström","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",99
"Olofström","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",8
"Olofström","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",0
"Olofström","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",13
"Olofström","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",101
"Olofström","ensamstående kvinnor med barn 0-24 år","specialbostad",0
"Olofström","ensamstående kvinnor med barn 0-24 år","övrigt boende",0
"Olofström","ensamstående kvinnor med barn 0-24 år","uppgift saknas",5
"Olofström","ensamstående män med barn 0-24 år","småhus, äganderätt",76
"Olofström","ensamstående män med barn 0-24 år","småhus, bostadsrätt",0
"Olofström","ensamstående män med barn 0-24 år","småhus, hyresrätt",0
"Olofström","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",0
"Olofström","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",17
"Olofström","ensamstående män med barn 0-24 år","specialbostad",0
"Olofström","ensamstående män med barn 0-24 år","övrigt boende",0
"Olofström","ensamstående män med barn 0-24 år","uppgift saknas",0
"Olofström","sammanboende utan barn","småhus, äganderätt",1461
"Olofström","sammanboende utan barn","småhus, bostadsrätt",22
"Olofström","sammanboende utan barn","småhus, hyresrätt",18
"Olofström","sammanboende utan barn","flerbostadshus, bostadsrätt",70
"Olofström","sammanboende utan barn","flerbostadshus, hyresrätt",197
"Olofström","sammanboende utan barn","specialbostad",6
"Olofström","sammanboende utan barn","övrigt boende",19
"Olofström","sammanboende utan barn","uppgift saknas",6
"Olofström","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",345
"Olofström","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",6
"Olofström","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",5
"Olofström","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",13
"Olofström","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",67
"Olofström","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Olofström","sammanboende med barn 0-24 år, 1 barn","övrigt boende",0
"Olofström","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",0
"Olofström","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",408
"Olofström","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",7
"Olofström","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",0
"Olofström","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",8
"Olofström","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",60
"Olofström","sammanboende med barn 0-24 år, 2 barn","specialbostad",0
"Olofström","sammanboende med barn 0-24 år, 2 barn","övrigt boende",0
"Olofström","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",0
"Olofström","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",165
"Olofström","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",0
"Olofström","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",5
"Olofström","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",0
"Olofström","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",85
"Olofström","sammanboende med barn 0-24 år, 3+  barn","specialbostad",0
"Olofström","sammanboende med barn 0-24 år, 3+  barn","övrigt boende",0
"Olofström","sammanboende med barn 0-24 år, 3+  barn","uppgift saknas",0
"Olofström","övriga hushåll utan barn 0-24 år","småhus, äganderätt",234
"Olofström","övriga hushåll utan barn 0-24 år","småhus, bostadsrätt",0
"Olofström","övriga hushåll utan barn 0-24 år","småhus, hyresrätt",0
"Olofström","övriga hushåll utan barn 0-24 år","flerbostadshus, bostadsrätt",16
"Olofström","övriga hushåll utan barn 0-24 år","flerbostadshus, hyresrätt",82
"Olofström","övriga hushåll utan barn 0-24 år","specialbostad",0
"Olofström","övriga hushåll utan barn 0-24 år","övrigt boende",6
"Olofström","övriga hushåll utan barn 0-24 år","uppgift saknas",0
"Olofström","övriga hushåll med barn 0-24 år","småhus, äganderätt",70
"Olofström","övriga hushåll med barn 0-24 år","småhus, bostadsrätt",0
"Olofström","övriga hushåll med barn 0-24 år","småhus, hyresrätt",8
"Olofström","övriga hushåll med barn 0-24 år","flerbostadshus, bostadsrätt",0
"Olofström","övriga hushåll med barn 0-24 år","flerbostadshus, hyresrätt",31
"Olofström","övriga hushåll med barn 0-24 år","specialbostad",0
"Olofström","övriga hushåll med barn 0-24 år","övrigt boende",0
"Olofström","övriga hushåll med barn 0-24 år","uppgift saknas",0
"Karlskrona","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",465
"Karlskrona","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",17
"Karlskrona","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",15
"Karlskrona","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",445
"Karlskrona","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",1369
"Karlskrona","ensamstående kvinnor -64 år utan barn","specialbostad",161
"Karlskrona","ensamstående kvinnor -64 år utan barn","övrigt boende",67
"Karlskrona","ensamstående kvinnor -64 år utan barn","uppgift saknas",109
"Karlskrona","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",1018
"Karlskrona","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",30
"Karlskrona","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",34
"Karlskrona","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",634
"Karlskrona","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",1257
"Karlskrona","ensamstående kvinnor 65- år utan barn","specialbostad",288
"Karlskrona","ensamstående kvinnor 65- år utan barn","övrigt boende",55
"Karlskrona","ensamstående kvinnor 65- år utan barn","uppgift saknas",79
"Karlskrona","ensamstående män -64 år utan barn","småhus, äganderätt",1046
"Karlskrona","ensamstående män -64 år utan barn","småhus, bostadsrätt",19
"Karlskrona","ensamstående män -64 år utan barn","småhus, hyresrätt",22
"Karlskrona","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",788
"Karlskrona","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",2219
"Karlskrona","ensamstående män -64 år utan barn","specialbostad",437
"Karlskrona","ensamstående män -64 år utan barn","övrigt boende",65
"Karlskrona","ensamstående män -64 år utan barn","uppgift saknas",349
"Karlskrona","ensamstående män 65- år utan barn","småhus, äganderätt",842
"Karlskrona","ensamstående män 65- år utan barn","småhus, bostadsrätt",6
"Karlskrona","ensamstående män 65- år utan barn","småhus, hyresrätt",8
"Karlskrona","ensamstående män 65- år utan barn","flerbostadshus, bostadsrätt",226
"Karlskrona","ensamstående män 65- år utan barn","flerbostadshus, hyresrätt",452
"Karlskrona","ensamstående män 65- år utan barn","specialbostad",131
"Karlskrona","ensamstående män 65- år utan barn","övrigt boende",20
"Karlskrona","ensamstående män 65- år utan barn","uppgift saknas",63
"Karlskrona","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",345
"Karlskrona","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",11
"Karlskrona","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",13
"Karlskrona","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",58
"Karlskrona","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",652
"Karlskrona","ensamstående kvinnor med barn 0-24 år","specialbostad",0
"Karlskrona","ensamstående kvinnor med barn 0-24 år","övrigt boende",22
"Karlskrona","ensamstående kvinnor med barn 0-24 år","uppgift saknas",30
"Karlskrona","ensamstående män med barn 0-24 år","småhus, äganderätt",320
"Karlskrona","ensamstående män med barn 0-24 år","småhus, bostadsrätt",0
"Karlskrona","ensamstående män med barn 0-24 år","småhus, hyresrätt",0
"Karlskrona","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",22
"Karlskrona","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",112
"Karlskrona","ensamstående män med barn 0-24 år","specialbostad",0
"Karlskrona","ensamstående män med barn 0-24 år","övrigt boende",0
"Karlskrona","ensamstående män med barn 0-24 år","uppgift saknas",7
"Karlskrona","sammanboende utan barn","småhus, äganderätt",5333
"Karlskrona","sammanboende utan barn","småhus, bostadsrätt",58
"Karlskrona","sammanboende utan barn","småhus, hyresrätt",41
"Karlskrona","sammanboende utan barn","flerbostadshus, bostadsrätt",923
"Karlskrona","sammanboende utan barn","flerbostadshus, hyresrätt",1516
"Karlskrona","sammanboende utan barn","specialbostad",63
"Karlskrona","sammanboende utan barn","övrigt boende",85
"Karlskrona","sammanboende utan barn","uppgift saknas",43
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",1471
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",18
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",7
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",122
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",372
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","övrigt boende",23
"Karlskrona","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",21
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",2604
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",27
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",14
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",67
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",349
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","specialbostad",0
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","övrigt boende",16
"Karlskrona","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",19
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",1004
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",0
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",0
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",11
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",271
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","specialbostad",0
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","övrigt boende",0
"Karlskrona","sammanboende med barn 0-24 år, 3+  barn","uppgift saknas",16
"Karlskrona","övriga hushåll utan barn 0-24 år","småhus, äganderätt",905
"Karlskrona","övriga hushåll utan barn 0-24 år","småhus, bostadsrätt",7
"Karlskrona","övriga hushåll utan barn 0-24 år","småhus, hyresrätt",16
"Karlskrona","övriga hushåll utan barn 0-24 år","flerbostadshus, bostadsrätt",140
"Karlskrona","övriga hushåll utan barn 0-24 år","flerbostadshus, hyresrätt",569
"Karlskrona","övriga hushåll utan barn 0-24 år","specialbostad",137
"Karlskrona","övriga hushåll utan barn 0-24 år","övrigt boende",20
"Karlskrona","övriga hushåll utan barn 0-24 år","uppgift saknas",12
"Karlskrona","övriga hushåll med barn 0-24 år","småhus, äganderätt",329
"Karlskrona","övriga hushåll med barn 0-24 år","småhus, bostadsrätt",0
"Karlskrona","övriga hushåll med barn 0-24 år","småhus, hyresrätt",0
"Karlskrona","övriga hushåll med barn 0-24 år","flerbostadshus, bostadsrätt",22
"Karlskrona","övriga hushåll med barn 0-24 år","flerbostadshus, hyresrätt",209
"Karlskrona","övriga hushåll med barn 0-24 år","specialbostad",0
"Karlskrona","övriga hushåll med barn 0-24 år","övrigt boende",8
"Karlskrona","övriga hushåll med barn 0-24 år","uppgift saknas",0
"Ronneby","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",330
"Ronneby","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",0
"Ronneby","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",13
"Ronneby","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",95
"Ronneby","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",407
"Ronneby","ensamstående kvinnor -64 år utan barn","specialbostad",25
"Ronneby","ensamstående kvinnor -64 år utan barn","övrigt boende",19
"Ronneby","ensamstående kvinnor -64 år utan barn","uppgift saknas",38
"Ronneby","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",691
"Ronneby","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",0
"Ronneby","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",22
"Ronneby","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",166
"Ronneby","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",514
"Ronneby","ensamstående kvinnor 65- år utan barn","specialbostad",150
"Ronneby","ensamstående kvinnor 65- år utan barn","övrigt boende",17
"Ronneby","ensamstående kvinnor 65- år utan barn","uppgift saknas",43
"Ronneby","ensamstående män -64 år utan barn","småhus, äganderätt",665
"Ronneby","ensamstående män -64 år utan barn","småhus, bostadsrätt",0
"Ronneby","ensamstående män -64 år utan barn","småhus, hyresrätt",7
"Ronneby","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",174
"Ronneby","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",755
"Ronneby","ensamstående män -64 år utan barn","specialbostad",78
"Ronneby","ensamstående män -64 år utan barn","övrigt boende",28
"Ronneby","ensamstående män -64 år utan barn","uppgift saknas",119
"Ronneby","ensamstående män 65- år utan barn","småhus, äganderätt",567
"Ronneby","ensamstående män 65- år utan barn","småhus, bostadsrätt",0
"Ronneby","ensamstående män 65- år utan barn","småhus, hyresrätt",8
"Ronneby","ensamstående män 65- år utan barn","flerbostadshus, bostadsrätt",66
"Ronneby","ensamstående män 65- år utan barn","flerbostadshus, hyresrätt",202
"Ronneby","ensamstående män 65- år utan barn","specialbostad",51
"Ronneby","ensamstående män 65- år utan barn","övrigt boende",6
"Ronneby","ensamstående män 65- år utan barn","uppgift saknas",27
"Ronneby","ensamstående kvinnor med barn 0-24 år","småhus, äganderätt",210
"Ronneby","ensamstående kvinnor med barn 0-24 år","småhus, bostadsrätt",0
"Ronneby","ensamstående kvinnor med barn 0-24 år","småhus, hyresrätt",10
"Ronneby","ensamstående kvinnor med barn 0-24 år","flerbostadshus, bostadsrätt",20
"Ronneby","ensamstående kvinnor med barn 0-24 år","flerbostadshus, hyresrätt",214
"Ronneby","ensamstående kvinnor med barn 0-24 år","specialbostad",0
"Ronneby","ensamstående kvinnor med barn 0-24 år","övrigt boende",6
"Ronneby","ensamstående kvinnor med barn 0-24 år","uppgift saknas",7
"Ronneby","ensamstående män med barn 0-24 år","småhus, äganderätt",151
"Ronneby","ensamstående män med barn 0-24 år","småhus, bostadsrätt",0
"Ronneby","ensamstående män med barn 0-24 år","småhus, hyresrätt",0
"Ronneby","ensamstående män med barn 0-24 år","flerbostadshus, bostadsrätt",0
"Ronneby","ensamstående män med barn 0-24 år","flerbostadshus, hyresrätt",33
"Ronneby","ensamstående män med barn 0-24 år","specialbostad",0
"Ronneby","ensamstående män med barn 0-24 år","övrigt boende",0
"Ronneby","ensamstående män med barn 0-24 år","uppgift saknas",0
"Ronneby","sammanboende utan barn","småhus, äganderätt",3119
"Ronneby","sammanboende utan barn","småhus, bostadsrätt",0
"Ronneby","sammanboende utan barn","småhus, hyresrätt",24
"Ronneby","sammanboende utan barn","flerbostadshus, bostadsrätt",151
"Ronneby","sammanboende utan barn","flerbostadshus, hyresrätt",396
"Ronneby","sammanboende utan barn","specialbostad",21
"Ronneby","sammanboende utan barn","övrigt boende",23
"Ronneby","sammanboende utan barn","uppgift saknas",29
"Ronneby","sammanboende med barn 0-24 år, 1 barn","småhus, äganderätt",701
"Ronneby","sammanboende med barn 0-24 år, 1 barn","småhus, bostadsrätt",0
"Ronneby","sammanboende med barn 0-24 år, 1 barn","småhus, hyresrätt",8
"Ronneby","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, bostadsrätt",13
"Ronneby","sammanboende med barn 0-24 år, 1 barn","flerbostadshus, hyresrätt",124
"Ronneby","sammanboende med barn 0-24 år, 1 barn","specialbostad",0
"Ronneby","sammanboende med barn 0-24 år, 1 barn","övrigt boende",9
"Ronneby","sammanboende med barn 0-24 år, 1 barn","uppgift saknas",18
"Ronneby","sammanboende med barn 0-24 år, 2 barn","småhus, äganderätt",1083
"Ronneby","sammanboende med barn 0-24 år, 2 barn","småhus, bostadsrätt",0
"Ronneby","sammanboende med barn 0-24 år, 2 barn","småhus, hyresrätt",6
"Ronneby","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, bostadsrätt",8
"Ronneby","sammanboende med barn 0-24 år, 2 barn","flerbostadshus, hyresrätt",166
"Ronneby","sammanboende med barn 0-24 år, 2 barn","specialbostad",0
"Ronneby","sammanboende med barn 0-24 år, 2 barn","övrigt boende",5
"Ronneby","sammanboende med barn 0-24 år, 2 barn","uppgift saknas",20
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","småhus, äganderätt",442
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","småhus, bostadsrätt",0
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","småhus, hyresrätt",0
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, bostadsrätt",0
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","flerbostadshus, hyresrätt",236
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","specialbostad",0
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","övrigt boende",0
"Ronneby","sammanboende med barn 0-24 år, 3+  barn","uppgift saknas",11
"Ronneby","övriga hushåll utan barn 0-24 år","småhus, äganderätt",476
"Ronneby","övriga hushåll utan barn 0-24 år","småhus, bostadsrätt",0
"Ronneby","övriga hushåll utan barn 0-24 år","småhus, hyresrätt",8
"Ronneby","övriga hushåll utan barn 0-24 år","flerbostadshus, bostadsrätt",19
"Ronneby","övriga hushåll utan barn 0-24 år","flerbostadshus, hyresrätt",191
"Ronneby","övriga hushåll utan barn 0-24 år","specialbostad",17
"Ronneby","övriga hushåll utan barn 0-24 år","övrigt boende",12
"Ronneby","övriga hushåll utan barn 0-24 år","uppgift saknas",0
"Ronneby","övriga hushåll med barn 0-24 år","småhus, äganderätt",176
"Ronneby","övriga hushåll med barn 0-24 år","småhus, bostadsrätt",0
"Ronneby","övriga hushåll med barn 0-24 år","småhus, hyresrätt",8
"Ronneby","övriga hushåll med barn 0-24 år","flerbostadshus, bostadsrätt",6
"Ronneby","övriga hushåll med barn 0-24 år","flerbostadshus, hyresrätt",85
"Ronneby","övriga hushåll med barn 0-24 år","specialbostad",0
"Ronneby","övriga hushåll med barn 0-24 år","övrigt boende",5
"Ronneby","övriga hushåll med barn 0-24 år","uppgift saknas",0
"Karlshamn","ensamstående kvinnor -64 år utan barn","småhus, äganderätt",260
"Karlshamn","ensamstående kvinnor -64 år utan barn","småhus, bostadsrätt",9
"Karlshamn","ensamstående kvinnor -64 år utan barn","småhus, hyresrätt",50
"Karlshamn","ensamstående kvinnor -64 år utan barn","flerbostadshus, bostadsrätt",265
"Karlshamn","ensamstående kvinnor -64 år utan barn","flerbostadshus, hyresrätt",625
"Karlshamn","ensamstående kvinnor -64 år utan barn","specialbostad",38
"Karlshamn","ensamstående kvinnor -64 år utan barn","övrigt boende",38
"Karlshamn","ensamstående kvinnor -64 år utan barn","uppgift saknas",71
"Karlshamn","ensamstående kvinnor 65- år utan barn","småhus, äganderätt",562
"Karlshamn","ensamstående kvinnor 65- år utan barn","småhus, bostadsrätt",38
"Karlshamn","ensamstående kvinnor 65- år utan barn","småhus, hyresrätt",69
"Karlshamn","ensamstående kvinnor 65- år utan barn","flerbostadshus, bostadsrätt",373
"Karlshamn","ensamstående kvinnor 65- år utan barn","flerbostadshus, hyresrätt",572
"Karlshamn","ensamstående kvinnor 65- år utan barn","specialbostad",158
"Karlshamn","ensamstående kvinnor 65- år utan barn","övrigt boende",26
"Karlshamn","ensamstående kvinnor 65- år utan barn","uppgift saknas",58
"Karlshamn","ensamstående män -64 år utan barn","småhus, äganderätt",535
"Karlshamn","ensamstående män -64 år utan barn","småhus, bostadsrätt",9
"Karlshamn","ensamstående män -64 år utan barn","småhus, hyresrätt",38
"Karlshamn","ensamstående män -64 år utan barn","flerbostadshus, bostadsrätt",469
"Karlshamn","ensamstående män -64 år utan barn","flerbostadshus, hyresrätt",832
