"region","kön","ålder","MedTyp","X2018"
"Norrköping","totalt","totalt 16+ år","Median",264.5
"Norrköping","totalt","16-19 år","Medelvärde",27.3
"Norrköping","totalt","16-19 år","Median",9.1
"Norrköping","totalt","totalt 20+ år","Medelvärde",296
"Norrköping","totalt","totalt 20+ år","Median",278.5
"Norrköping","totalt","20-24 år","Medelvärde",160.4
"Norrköping","totalt","20-24 år","Median",140.2
"Söderköping","män","totalt 16+ år","Medelvärde",331.5
"Söderköping","män","totalt 16+ år","Median",323.1
"Söderköping","män","16-19 år","Medelvärde",27.6
"Söderköping","män","16-19 år","Median",9.5
"Söderköping","män","totalt 20+ år","Medelvärde",350.7
"Söderköping","män","totalt 20+ år","Median",336.3
"Söderköping","män","20-24 år","Medelvärde",187.5
"Söderköping","män","20-24 år","Median",172.7
"Söderköping","kvinnor","totalt 16+ år","Medelvärde",255.8
"Söderköping","kvinnor","totalt 16+ år","Median",241.9
"Söderköping","kvinnor","16-19 år","Medelvärde",30.1
"Söderköping","kvinnor","16-19 år","Median",17.2
"Söderköping","kvinnor","totalt 20+ år","Medelvärde",267.9
"Söderköping","kvinnor","totalt 20+ år","Median",253.1
"Söderköping","kvinnor","20-24 år","Medelvärde",138.5
"Söderköping","kvinnor","20-24 år","Median",126.7
"Söderköping","totalt","totalt 16+ år","Medelvärde",293.6
"Söderköping","totalt","totalt 16+ år","Median",280.4
"Söderköping","totalt","16-19 år","Medelvärde",28.7
"Söderköping","totalt","16-19 år","Median",12.5
"Söderköping","totalt","totalt 20+ år","Medelvärde",309.1
"Söderköping","totalt","totalt 20+ år","Median",292.7
"Söderköping","totalt","20-24 år","Medelvärde",167
"Söderköping","totalt","20-24 år","Median",150.1
"Motala","män","totalt 16+ år","Medelvärde",305.7
"Motala","män","totalt 16+ år","Median",298.4
"Motala","män","16-19 år","Medelvärde",24.7
"Motala","män","16-19 år","Median",6.1
"Motala","män","totalt 20+ år","Medelvärde",322.7
"Motala","män","totalt 20+ år","Median",311.2
"Motala","män","20-24 år","Medelvärde",193.9
"Motala","män","20-24 år","Median",190.2
"Motala","kvinnor","totalt 16+ år","Medelvärde",237.5
"Motala","kvinnor","totalt 16+ år","Median",219.2
"Motala","kvinnor","16-19 år","Medelvärde",25.4
"Motala","kvinnor","16-19 år","Median",7.9
"Motala","kvinnor","totalt 20+ år","Medelvärde",249.3
"Motala","kvinnor","totalt 20+ år","Median",230.8
"Motala","kvinnor","20-24 år","Medelvärde",155
"Motala","kvinnor","20-24 år","Median",147.9
"Motala","totalt","totalt 16+ år","Medelvärde",271.8
"Motala","totalt","totalt 16+ år","Median",255.5
"Motala","totalt","16-19 år","Medelvärde",25
"Motala","totalt","16-19 år","Median",6.5
"Motala","totalt","totalt 20+ år","Medelvärde",286.1
"Motala","totalt","totalt 20+ år","Median",269
"Motala","totalt","20-24 år","Medelvärde",176.8
"Motala","totalt","20-24 år","Median",165.6
"Vadstena","män","totalt 16+ år","Medelvärde",314.2
"Vadstena","män","totalt 16+ år","Median",304.4
"Vadstena","män","16-19 år","Medelvärde",36.1
"Vadstena","män","16-19 år","Median",15.8
"Vadstena","män","totalt 20+ år","Medelvärde",329.7
"Vadstena","män","totalt 20+ år","Median",315
"Vadstena","män","20-24 år","Medelvärde",205.1
"Vadstena","män","20-24 år","Median",213.7
"Vadstena","kvinnor","totalt 16+ år","Medelvärde",249.2
"Vadstena","kvinnor","totalt 16+ år","Median",228.3
"Vadstena","kvinnor","16-19 år","Medelvärde",36.2
"Vadstena","kvinnor","16-19 år","Median",21.6
"Vadstena","kvinnor","totalt 20+ år","Medelvärde",259.1
"Vadstena","kvinnor","totalt 20+ år","Median",237.9
"Vadstena","kvinnor","20-24 år","Medelvärde",157.4
"Vadstena","kvinnor","20-24 år","Median",156.2
"Vadstena","totalt","totalt 16+ år","Medelvärde",281.2
"Vadstena","totalt","totalt 16+ år","Median",260.5
"Vadstena","totalt","16-19 år","Medelvärde",36.1
"Vadstena","totalt","16-19 år","Median",18.2
"Vadstena","totalt","totalt 20+ år","Medelvärde",293.6
"Vadstena","totalt","totalt 20+ år","Median",272.6
"Vadstena","totalt","20-24 år","Medelvärde",181.7
"Vadstena","totalt","20-24 år","Median",188.5
"Mjölby","män","totalt 16+ år","Medelvärde",324.2
"Mjölby","män","totalt 16+ år","Median",330.1
"Mjölby","män","16-19 år","Medelvärde",30.8
"Mjölby","män","16-19 år","Median",7.5
"Mjölby","män","totalt 20+ år","Medelvärde",341.9
"Mjölby","män","totalt 20+ år","Median",342.9
"Mjölby","män","20-24 år","Medelvärde",227.7
"Mjölby","män","20-24 år","Median",242.5
"Mjölby","kvinnor","totalt 16+ år","Medelvärde",245
"Mjölby","kvinnor","totalt 16+ år","Median",230.8
"Mjölby","kvinnor","16-19 år","Medelvärde",30.5
"Mjölby","kvinnor","16-19 år","Median",10.9
"Mjölby","kvinnor","totalt 20+ år","Medelvärde",256.4
"Mjölby","kvinnor","totalt 20+ år","Median",241.9
"Mjölby","kvinnor","20-24 år","Medelvärde",165.8
"Mjölby","kvinnor","20-24 år","Median",168.9
"Mjölby","totalt","totalt 16+ år","Medelvärde",285
"Mjölby","totalt","totalt 16+ år","Median",275.2
"Mjölby","totalt","16-19 år","Medelvärde",30.7
"Mjölby","totalt","16-19 år","Median",9.2
"Mjölby","totalt","totalt 20+ år","Medelvärde",299.4
"Mjölby","totalt","totalt 20+ år","Median",289.1
"Mjölby","totalt","20-24 år","Medelvärde",199.8
"Mjölby","totalt","20-24 år","Median",202.4
"Aneby","män","totalt 16+ år","Medelvärde",313.5
"Aneby","män","totalt 16+ år","Median",317.1
"Aneby","män","16-19 år","Medelvärde",39.2
"Aneby","män","16-19 år","Median",7.6
"Aneby","män","totalt 20+ år","Medelvärde",330.3
"Aneby","män","totalt 20+ år","Median",327.3
"Aneby","män","20-24 år","Medelvärde",236
"Aneby","män","20-24 år","Median",260.7
"Aneby","kvinnor","totalt 16+ år","Medelvärde",238.6
"Aneby","kvinnor","totalt 16+ år","Median",228.9
"Aneby","kvinnor","16-19 år","Medelvärde",41
"Aneby","kvinnor","16-19 år","Median",18.1
"Aneby","kvinnor","totalt 20+ år","Medelvärde",249.4
"Aneby","kvinnor","totalt 20+ år","Median",240.2
"Aneby","kvinnor","20-24 år","Medelvärde",157.2
"Aneby","kvinnor","20-24 år","Median",148.9
"Aneby","totalt","totalt 16+ år","Medelvärde",276.9
"Aneby","totalt","totalt 16+ år","Median",269.5
"Aneby","totalt","16-19 år","Medelvärde",40
"Aneby","totalt","16-19 år","Median",11.4
"Aneby","totalt","totalt 20+ år","Medelvärde",290.6
"Aneby","totalt","totalt 20+ år","Median",282.5
"Aneby","totalt","20-24 år","Medelvärde",200.2
"Aneby","totalt","20-24 år","Median",208.8
"Gnosjö","män","totalt 16+ år","Medelvärde",326.6
"Gnosjö","män","totalt 16+ år","Median",326.9
"Gnosjö","män","16-19 år","Medelvärde",40.2
"Gnosjö","män","16-19 år","Median",19.1
"Gnosjö","män","totalt 20+ år","Medelvärde",345.8
"Gnosjö","män","totalt 20+ år","Median",337.1
"Gnosjö","män","20-24 år","Medelvärde",236.9
"Gnosjö","män","20-24 år","Median",266.7
"Gnosjö","kvinnor","totalt 16+ år","Medelvärde",248
"Gnosjö","kvinnor","totalt 16+ år","Median",250
"Gnosjö","kvinnor","16-19 år","Medelvärde",36.4
"Gnosjö","kvinnor","16-19 år","Median",20.6
"Gnosjö","kvinnor","totalt 20+ år","Medelvärde",261.2
"Gnosjö","kvinnor","totalt 20+ år","Median",263.3
"Gnosjö","kvinnor","20-24 år","Medelvärde",171.6
"Gnosjö","kvinnor","20-24 år","Median",170.2
"Gnosjö","totalt","totalt 16+ år","Medelvärde",288.9
"Gnosjö","totalt","totalt 16+ år","Median",287.9
"Gnosjö","totalt","16-19 år","Medelvärde",38.4
"Gnosjö","totalt","16-19 år","Median",19.9
"Gnosjö","totalt","totalt 20+ år","Medelvärde",305.1
"Gnosjö","totalt","totalt 20+ år","Median",298.6
"Gnosjö","totalt","20-24 år","Medelvärde",208.7
"Gnosjö","totalt","20-24 år","Median",234.1
"Mullsjö","män","totalt 16+ år","Medelvärde",320.2
"Mullsjö","män","totalt 16+ år","Median",318.9
"Mullsjö","män","16-19 år","Medelvärde",41.4
"Mullsjö","män","16-19 år","Median",13.7
"Mullsjö","män","totalt 20+ år","Medelvärde",338.4
"Mullsjö","män","totalt 20+ år","Median",330.5
"Mullsjö","män","20-24 år","Medelvärde",236.5
"Mullsjö","män","20-24 år","Median",264.2
"Mullsjö","kvinnor","totalt 16+ år","Medelvärde",239.4
"Mullsjö","kvinnor","totalt 16+ år","Median",227.5
"Mullsjö","kvinnor","16-19 år","Medelvärde",37.9
"Mullsjö","kvinnor","16-19 år","Median",16.9
"Mullsjö","kvinnor","totalt 20+ år","Medelvärde",251.3
"Mullsjö","kvinnor","totalt 20+ år","Median",239.2
"Mullsjö","kvinnor","20-24 år","Medelvärde",168.2
"Mullsjö","kvinnor","20-24 år","Median",176.5
"Mullsjö","totalt","totalt 16+ år","Medelvärde",279.9
"Mullsjö","totalt","totalt 16+ år","Median",272
"Mullsjö","totalt","16-19 år","Medelvärde",39.7
"Mullsjö","totalt","16-19 år","Median",15.4
"Mullsjö","totalt","totalt 20+ år","Medelvärde",294.9
"Mullsjö","totalt","totalt 20+ år","Median",285.9
"Mullsjö","totalt","20-24 år","Medelvärde",205
"Mullsjö","totalt","20-24 år","Median",212.7
"Habo","män","totalt 16+ år","Medelvärde",356.8
"Habo","män","totalt 16+ år","Median",349.9
"Habo","män","16-19 år","Medelvärde",35.6
"Habo","män","16-19 år","Median",13.8
"Habo","män","totalt 20+ år","Medelvärde",378.9
"Habo","män","totalt 20+ år","Median",363.2
"Habo","män","20-24 år","Medelvärde",214.4
"Habo","män","20-24 år","Median",224.3
"Habo","kvinnor","totalt 16+ år","Medelvärde",264.2
"Habo","kvinnor","totalt 16+ år","Median",261.7
"Habo","kvinnor","16-19 år","Medelvärde",33.8
"Habo","kvinnor","16-19 år","Median",17.3
"Habo","kvinnor","totalt 20+ år","Medelvärde",278.4
"Habo","kvinnor","totalt 20+ år","Median",271.4
"Habo","kvinnor","20-24 år","Medelvärde",160.5
"Habo","kvinnor","20-24 år","Median",162.7
"Habo","totalt","totalt 16+ år","Medelvärde",310.8
"Habo","totalt","totalt 16+ år","Median",304.4
"Habo","totalt","16-19 år","Medelvärde",34.7
"Habo","totalt","16-19 år","Median",16.2
"Habo","totalt","totalt 20+ år","Medelvärde",328.7
"Habo","totalt","totalt 20+ år","Median",316.2
"Habo","totalt","20-24 år","Medelvärde",190.4
"Habo","totalt","20-24 år","Median",190.3
"Gislaved","män","totalt 16+ år","Medelvärde",319.9
"Gislaved","män","totalt 16+ år","Median",324.9
"Gislaved","män","16-19 år","Medelvärde",40.2
"Gislaved","män","16-19 år","Median",18.7
"Gislaved","män","totalt 20+ år","Medelvärde",338.8
"Gislaved","män","totalt 20+ år","Median",336.3
"Gislaved","män","20-24 år","Medelvärde",237.8
"Gislaved","män","20-24 år","Median",264.6
"Gislaved","kvinnor","totalt 16+ år","Medelvärde",241.8
"Gislaved","kvinnor","totalt 16+ år","Median",238.3
"Gislaved","kvinnor","16-19 år","Medelvärde",37.4
"Gislaved","kvinnor","16-19 år","Median",19.5
"Gislaved","kvinnor","totalt 20+ år","Medelvärde",255.1
"Gislaved","kvinnor","totalt 20+ år","Median",252.2
"Gislaved","kvinnor","20-24 år","Medelvärde",171.2
"Gislaved","kvinnor","20-24 år","Median",169.2
"Gislaved","totalt","totalt 16+ år","Medelvärde",281.8
"Gislaved","totalt","totalt 16+ år","Median",282.2
"Gislaved","totalt","16-19 år","Medelvärde",38.9
"Gislaved","totalt","16-19 år","Median",19.2
"Gislaved","totalt","totalt 20+ år","Medelvärde",298
"Gislaved","totalt","totalt 20+ år","Median",295.6
"Gislaved","totalt","20-24 år","Medelvärde",208
"Gislaved","totalt","20-24 år","Median",227.1
"Vaggeryd","män","totalt 16+ år","Medelvärde",330.6
"Vaggeryd","män","totalt 16+ år","Median",334.6
"Vaggeryd","män","16-19 år","Medelvärde",42.2
"Vaggeryd","män","16-19 år","Median",17.4
"Vaggeryd","män","totalt 20+ år","Medelvärde",349.5
"Vaggeryd","män","totalt 20+ år","Median",344
"Vaggeryd","män","20-24 år","Medelvärde",215.4
"Vaggeryd","män","20-24 år","Median",229.2
"Vaggeryd","kvinnor","totalt 16+ år","Medelvärde",248.7
"Vaggeryd","kvinnor","totalt 16+ år","Median",242
"Vaggeryd","kvinnor","16-19 år","Medelvärde",38.5
"Vaggeryd","kvinnor","16-19 år","Median",16.7
"Vaggeryd","kvinnor","totalt 20+ år","Medelvärde",260.4
"Vaggeryd","kvinnor","totalt 20+ år","Median",253.3
"Vaggeryd","kvinnor","20-24 år","Medelvärde",173.7
"Vaggeryd","kvinnor","20-24 år","Median",176.4
"Vaggeryd","totalt","totalt 16+ år","Medelvärde",290.2
"Vaggeryd","totalt","totalt 16+ år","Median",287.8
"Vaggeryd","totalt","16-19 år","Medelvärde",40.5
"Vaggeryd","totalt","16-19 år","Median",16.8
"Vaggeryd","totalt","totalt 20+ år","Medelvärde",305.4
"Vaggeryd","totalt","totalt 20+ år","Median",300.2
"Vaggeryd","totalt","20-24 år","Medelvärde",196.7
"Vaggeryd","totalt","20-24 år","Median",203.9
"Jönköping","män","totalt 16+ år","Medelvärde",340.6
"Jönköping","män","totalt 16+ år","Median",333.4
"Jönköping","män","16-19 år","Medelvärde",36.5
"Jönköping","män","16-19 år","Median",14.7
"Jönköping","män","totalt 20+ år","Medelvärde",358.4
"Jönköping","män","totalt 20+ år","Median",344.3
"Jönköping","män","20-24 år","Medelvärde",198.6
"Jönköping","män","20-24 år","Median",195.7
"Jönköping","kvinnor","totalt 16+ år","Medelvärde",256.7
"Jönköping","kvinnor","totalt 16+ år","Median",246.7
"Jönköping","kvinnor","16-19 år","Medelvärde",38.6
"Jönköping","kvinnor","16-19 år","Median",20.1
"Jönköping","kvinnor","totalt 20+ år","Medelvärde",268.5
"Jönköping","kvinnor","totalt 20+ år","Median",258
"Jönköping","kvinnor","20-24 år","Medelvärde",158.7
"Jönköping","kvinnor","20-24 år","Median",143.5
"Jönköping","totalt","totalt 16+ år","Medelvärde",298.4
"Jönköping","totalt","totalt 16+ år","Median",287.5
"Jönköping","totalt","16-19 år","Medelvärde",37.5
"Jönköping","totalt","16-19 år","Median",17.5
"Jönköping","totalt","totalt 20+ år","Medelvärde",313.1
"Jönköping","totalt","totalt 20+ år","Median",299.9
"Jönköping","totalt","20-24 år","Medelvärde",178.8
"Jönköping","totalt","20-24 år","Median",166.2
"Nässjö","män","totalt 16+ år","Medelvärde",308.3
"Nässjö","män","totalt 16+ år","Median",309.7
"Nässjö","män","16-19 år","Medelvärde",32.5
"Nässjö","män","16-19 år","Median",12.6
"Nässjö","män","totalt 20+ år","Medelvärde",326.2
"Nässjö","män","totalt 20+ år","Median",323
"Nässjö","män","20-24 år","Medelvärde",226.7
"Nässjö","män","20-24 år","Median",249
"Nässjö","kvinnor","totalt 16+ år","Medelvärde",234.6
"Nässjö","kvinnor","totalt 16+ år","Median",225.5
"Nässjö","kvinnor","16-19 år","Medelvärde",28.6
"Nässjö","kvinnor","16-19 år","Median",11
"Nässjö","kvinnor","totalt 20+ år","Medelvärde",247
"Nässjö","kvinnor","totalt 20+ år","Median",237.1
"Nässjö","kvinnor","20-24 år","Medelvärde",163.9
"Nässjö","kvinnor","20-24 år","Median",160.7
"Nässjö","totalt","totalt 16+ år","Medelvärde",272.1
"Nässjö","totalt","totalt 16+ år","Median",265.9
"Nässjö","totalt","16-19 år","Medelvärde",30.7
"Nässjö","totalt","16-19 år","Median",11.6
"Nässjö","totalt","totalt 20+ år","Medelvärde",287.2
"Nässjö","totalt","totalt 20+ år","Median",280.6
"Nässjö","totalt","20-24 år","Medelvärde",197.2
"Nässjö","totalt","20-24 år","Median",204.4
"Värnamo","män","totalt 16+ år","Medelvärde",337.7
"Värnamo","män","totalt 16+ år","Median",333.5
"Värnamo","män","16-19 år","Medelvärde",37.4
"Värnamo","män","16-19 år","Median",17.8
"Värnamo","män","totalt 20+ år","Medelvärde",357.3
"Värnamo","män","totalt 20+ år","Median",344.6
"Värnamo","män","20-24 år","Medelvärde",225.8
"Värnamo","män","20-24 år","Median",257.2
"Värnamo","kvinnor","totalt 16+ år","Medelvärde",257.9
"Värnamo","kvinnor","totalt 16+ år","Median",251.9
"Värnamo","kvinnor","16-19 år","Medelvärde",40.7
"Värnamo","kvinnor","16-19 år","Median",22.5
"Värnamo","kvinnor","totalt 20+ år","Medelvärde",270.3
"Värnamo","kvinnor","totalt 20+ år","Median",263
"Värnamo","kvinnor","20-24 år","Medelvärde",184.3
"Värnamo","kvinnor","20-24 år","Median",191.2
"Värnamo","totalt","totalt 16+ år","Medelvärde",298.2
"Värnamo","totalt","totalt 16+ år","Median",292.4
"Värnamo","totalt","16-19 år","Medelvärde",38.9
"Värnamo","totalt","16-19 år","Median",19.4
"Värnamo","totalt","totalt 20+ år","Medelvärde",314
"Värnamo","totalt","totalt 20+ år","Median",304.8
"Värnamo","totalt","20-24 år","Medelvärde",207.5
"Värnamo","totalt","20-24 år","Median",224.3
"Sävsjö","män","totalt 16+ år","Medelvärde",300.6
"Sävsjö","män","totalt 16+ år","Median",311.3
"Sävsjö","män","16-19 år","Medelvärde",34.5
"Sävsjö","män","16-19 år","Median",8.3
"Sävsjö","män","totalt 20+ år","Medelvärde",318.1
"Sävsjö","män","totalt 20+ år","Median",322.8
"Sävsjö","män","20-24 år","Medelvärde",252.2
"Sävsjö","män","20-24 år","Median",287.8
"Sävsjö","kvinnor","totalt 16+ år","Medelvärde",226.4
"Sävsjö","kvinnor","totalt 16+ år","Median",215.3
"Sävsjö","kvinnor","16-19 år","Medelvärde",26.5
"Sävsjö","kvinnor","16-19 år","Median",10.5
"Sävsjö","kvinnor","totalt 20+ år","Medelvärde",238.4
"Sävsjö","kvinnor","totalt 20+ år","Median",228.2
"Sävsjö","kvinnor","20-24 år","Medelvärde",172.2
"Sävsjö","kvinnor","20-24 år","Median",182.4
"Sävsjö","totalt","totalt 16+ år","Medelvärde",264.4
"Sävsjö","totalt","totalt 16+ år","Median",263
"Sävsjö","totalt","16-19 år","Medelvärde",30.8
"Sävsjö","totalt","16-19 år","Median",9.4
"Sävsjö","totalt","totalt 20+ år","Medelvärde",279.1
"Sävsjö","totalt","totalt 20+ år","Median",275.1
"Sävsjö","totalt","20-24 år","Medelvärde",217.1
"Sävsjö","totalt","20-24 år","Median",239.3
"Vetlanda","män","totalt 16+ år","Medelvärde",315.7
"Vetlanda","män","totalt 16+ år","Median",318.7
"Vetlanda","män","16-19 år","Medelvärde",34.3
"Vetlanda","män","16-19 år","Median",11.6
"Vetlanda","män","totalt 20+ år","Medelvärde",334
"Vetlanda","män","totalt 20+ år","Median",328.9
"Vetlanda","män","20-24 år","Medelvärde",245.6
"Vetlanda","män","20-24 år","Median",279.5
"Vetlanda","kvinnor","totalt 16+ år","Medelvärde",237.4
"Vetlanda","kvinnor","totalt 16+ år","Median",227.5
"Vetlanda","kvinnor","16-19 år","Medelvärde",36.9
"Vetlanda","kvinnor","16-19 år","Median",16.2
"Vetlanda","kvinnor","totalt 20+ år","Medelvärde",249
"Vetlanda","kvinnor","totalt 20+ år","Median",240.1
"Vetlanda","kvinnor","20-24 år","Medelvärde",185.4
"Vetlanda","kvinnor","20-24 år","Median",194.8
"Vetlanda","totalt","totalt 16+ år","Medelvärde",277.4
"Vetlanda","totalt","totalt 16+ år","Median",270.3
"Vetlanda","totalt","16-19 år","Medelvärde",35.5
"Vetlanda","totalt","16-19 år","Median",13.6
"Vetlanda","totalt","totalt 20+ år","Medelvärde",292.2
"Vetlanda","totalt","totalt 20+ år","Median",283.5
"Vetlanda","totalt","20-24 år","Medelvärde",220.1
"Vetlanda","totalt","20-24 år","Median",245.4
"Eksjö","män","totalt 16+ år","Medelvärde",310.9
"Eksjö","män","totalt 16+ år","Median",310.3
"Eksjö","män","16-19 år","Medelvärde",27.2
"Eksjö","män","16-19 år","Median",11
"Eksjö","män","totalt 20+ år","Medelvärde",328.6
"Eksjö","män","totalt 20+ år","Median",322.7
"Eksjö","män","20-24 år","Medelvärde",199.1
"Eksjö","män","20-24 år","Median",215.2
"Eksjö","kvinnor","totalt 16+ år","Medelvärde",246.2
"Eksjö","kvinnor","totalt 16+ år","Median",231.5
"Eksjö","kvinnor","16-19 år","Medelvärde",28.5
"Eksjö","kvinnor","16-19 år","Median",14.4
"Eksjö","kvinnor","totalt 20+ år","Medelvärde",258
"Eksjö","kvinnor","totalt 20+ år","Median",243
"Eksjö","kvinnor","20-24 år","Medelvärde",158.3
"Eksjö","kvinnor","20-24 år","Median",156.7
"Eksjö","totalt","totalt 16+ år","Medelvärde",278.7
"Eksjö","totalt","totalt 16+ år","Median",266.9
"Eksjö","totalt","16-19 år","Medelvärde",27.8
"Eksjö","totalt","16-19 år","Median",12.8
"Eksjö","totalt","totalt 20+ år","Medelvärde",293.3
"Eksjö","totalt","totalt 20+ år","Median",280.3
"Eksjö","totalt","20-24 år","Medelvärde",182
"Eksjö","totalt","20-24 år","Median",185.3
"Tranås","män","totalt 16+ år","Medelvärde",307.9
"Tranås","män","totalt 16+ år","Median",308
"Tranås","män","16-19 år","Medelvärde",28.5
"Tranås","män","16-19 år","Median",10.2
"Tranås","män","totalt 20+ år","Medelvärde",324.7
"Tranås","män","totalt 20+ år","Median",318.9
"Tranås","män","20-24 år","Medelvärde",223.6
"Tranås","män","20-24 år","Median",246.9
"Tranås","kvinnor","totalt 16+ år","Medelvärde",228.4
"Tranås","kvinnor","totalt 16+ år","Median",214.3
"Tranås","kvinnor","16-19 år","Medelvärde",32.1
"Tranås","kvinnor","16-19 år","Median",16.2
"Tranås","kvinnor","totalt 20+ år","Medelvärde",240.2
"Tranås","kvinnor","totalt 20+ år","Median",226.3
"Tranås","kvinnor","20-24 år","Medelvärde",166.5
"Tranås","kvinnor","20-24 år","Median",170
"Tranås","totalt","totalt 16+ år","Medelvärde",268.3
"Tranås","totalt","totalt 16+ år","Median",256.5
"Tranås","totalt","16-19 år","Medelvärde",30.3
"Tranås","totalt","16-19 år","Median",12.8
"Tranås","totalt","totalt 20+ år","Medelvärde",282.6
"Tranås","totalt","totalt 20+ år","Median",270.6
"Tranås","totalt","20-24 år","Medelvärde",198.6
"Tranås","totalt","20-24 år","Median",209.2
"Uppvidinge","män","totalt 16+ år","Medelvärde",298.2
"Uppvidinge","män","totalt 16+ år","Median",311.2
"Uppvidinge","män","16-19 år","Medelvärde",35.7
"Uppvidinge","män","16-19 år","Median",11.3
"Uppvidinge","män","totalt 20+ år","Medelvärde",315.7
"Uppvidinge","män","totalt 20+ år","Median",327.4
"Uppvidinge","män","20-24 år","Medelvärde",244.5
"Uppvidinge","män","20-24 år","Median",282.7
"Uppvidinge","kvinnor","totalt 16+ år","Medelvärde",226.2
"Uppvidinge","kvinnor","totalt 16+ år","Median",217.8
"Uppvidinge","kvinnor","16-19 år","Medelvärde",33.3
"Uppvidinge","kvinnor","16-19 år","Median",12.3
"Uppvidinge","kvinnor","totalt 20+ år","Medelvärde",238.1
"Uppvidinge","kvinnor","totalt 20+ år","Median",230.2
"Uppvidinge","kvinnor","20-24 år","Medelvärde",177.7
"Uppvidinge","kvinnor","20-24 år","Median",173.5
"Uppvidinge","totalt","totalt 16+ år","Medelvärde",264
"Uppvidinge","totalt","totalt 16+ år","Median",258
"Uppvidinge","totalt","16-19 år","Medelvärde",34.6
"Uppvidinge","totalt","16-19 år","Median",12.1
"Uppvidinge","totalt","totalt 20+ år","Medelvärde",278.9
"Uppvidinge","totalt","totalt 20+ år","Median",272.5
"Uppvidinge","totalt","20-24 år","Medelvärde",214.9
"Uppvidinge","totalt","20-24 år","Median",231.2
"Lessebo","män","totalt 16+ år","Medelvärde",277.1
"Lessebo","män","totalt 16+ år","Median",277.1
"Lessebo","män","16-19 år","Medelvärde",24.1
"Lessebo","män","16-19 år","Median",5.1
"Lessebo","män","totalt 20+ år","Medelvärde",296.5
"Lessebo","män","totalt 20+ år","Median",293.4
"Lessebo","män","20-24 år","Medelvärde",195.2
"Lessebo","män","20-24 år","Median",204.2
"Lessebo","kvinnor","totalt 16+ år","Medelvärde",215.6
"Lessebo","kvinnor","totalt 16+ år","Median",202
"Lessebo","kvinnor","16-19 år","Medelvärde",26.1
"Lessebo","kvinnor","16-19 år","Median",7.2
"Lessebo","kvinnor","totalt 20+ år","Medelvärde",227.8
"Lessebo","kvinnor","totalt 20+ år","Median",214.3
"Lessebo","kvinnor","20-24 år","Medelvärde",145.1
"Lessebo","kvinnor","20-24 år","Median",143.5
"Lessebo","totalt","totalt 16+ år","Medelvärde",247.4
"Lessebo","totalt","totalt 16+ år","Median",239.4
"Lessebo","totalt","16-19 år","Medelvärde",25
"Lessebo","totalt","16-19 år","Median",5.5
"Lessebo","totalt","totalt 20+ år","Medelvärde",263.2
"Lessebo","totalt","totalt 20+ år","Median",253.8
"Lessebo","totalt","20-24 år","Medelvärde",172.7
"Lessebo","totalt","20-24 år","Median",169.8
"Tingsryd","män","totalt 16+ år","Medelvärde",287.3
"Tingsryd","män","totalt 16+ år","Median",280.4
"Tingsryd","män","16-19 år","Medelvärde",32.8
"Tingsryd","män","16-19 år","Median",10.9
"Tingsryd","män","totalt 20+ år","Medelvärde",302.5
"Tingsryd","män","totalt 20+ år","Median",295.5
"Tingsryd","män","20-24 år","Medelvärde",221.4
"Tingsryd","män","20-24 år","Median",240.6
"Tingsryd","kvinnor","totalt 16+ år","Medelvärde",222.8
"Tingsryd","kvinnor","totalt 16+ år","Median",207
"Tingsryd","kvinnor","16-19 år","Medelvärde",31.9
"Tingsryd","kvinnor","16-19 år","Median",14.3
"Tingsryd","kvinnor","totalt 20+ år","Medelvärde",233.2
"Tingsryd","kvinnor","totalt 20+ år","Median",218.4
"Tingsryd","kvinnor","20-24 år","Medelvärde",171.7
"Tingsryd","kvinnor","20-24 år","Median",182.4
"Tingsryd","totalt","totalt 16+ år","Medelvärde",255.8
"Tingsryd","totalt","totalt 16+ år","Median",243.7
"Tingsryd","totalt","16-19 år","Medelvärde",32.4
"Tingsryd","totalt","16-19 år","Median",12.1
"Tingsryd","totalt","totalt 20+ år","Medelvärde",268.6
"Tingsryd","totalt","totalt 20+ år","Median",254.6
"Tingsryd","totalt","20-24 år","Medelvärde",200.4
"Tingsryd","totalt","20-24 år","Median",212.4
"Alvesta","män","totalt 16+ år","Medelvärde",308.3
"Alvesta","män","totalt 16+ år","Median",314.6
"Alvesta","män","16-19 år","Medelvärde",29.9
"Alvesta","män","16-19 år","Median",8.3
"Alvesta","män","totalt 20+ år","Medelvärde",325.9
"Alvesta","män","totalt 20+ år","Median",327.3
"Alvesta","män","20-24 år","Medelvärde",218.8
"Alvesta","män","20-24 år","Median",239.4
"Alvesta","kvinnor","totalt 16+ år","Medelvärde",231.2
"Alvesta","kvinnor","totalt 16+ år","Median",219.9
"Alvesta","kvinnor","16-19 år","Medelvärde",32.1
"Alvesta","kvinnor","16-19 år","Median",9.3
"Alvesta","kvinnor","totalt 20+ år","Medelvärde",243.8
"Alvesta","kvinnor","totalt 20+ år","Median",232.3
"Alvesta","kvinnor","20-24 år","Medelvärde",151.6
"Alvesta","kvinnor","20-24 år","Median",147.9
"Alvesta","totalt","totalt 16+ år","Medelvärde",270.5
"Alvesta","totalt","totalt 16+ år","Median",262.7
"Alvesta","totalt","16-19 år","Medelvärde",31
"Alvesta","totalt","16-19 år","Median",8.9
"Alvesta","totalt","totalt 20+ år","Medelvärde",285.7
